,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB
mean,232.11277340182647,151.25846898782348,116.44435235920854,226.00965708238198,219.39822184170475,27.75178805175039,55.01315981735161,2.3680934170471843,3.2294895357686455,0.5577395357686454,161.74184531963462,10.559568493150685,975.9152416286149,0.0005346270928462709,0.001382039573820396,31.980303462709283,32.501444634703184
std,318.85106783145875,250.9569616573671,156.52071366117195,316.97236814033164,307.45589200356636,4.758022740618851,28.778732322296694,1.462667670344068,1.882564525208805,0.268923061732855,91.87721656228369,5.915489536764592,2.153977480335337,0.023115844854792233,0.02635003158140825,10.051433577236638,10.77819062530475
min,0.0,0.0,0.0,0.0,0.0,14.9,3.3,0.0,0.0,0.0,0.0,0.0,968.0,0.0,0.0,13.1,13.1
25%,2.2,0.0,0.0,0.0,0.0,24.2,26.5,1.4,1.9,0.4,74.8,6.9,975.0,0.0,0.0,23.9,23.6
50%,5.2,0.0,2.5,4.4,4.3,27.2,59.3,2.2,2.9,0.5,199.1,10.8,976.0,0.0,0.0,28.4,28.4
75%,442.4,246.4,215.7,422.525,411.0,31.1,80.8,3.2,4.4,0.7,233.5,14.1,977.0,0.0,0.0,40.6,43.0
max,1000.0,1004.5,805.7,1056.3125,1027.5,41.4,99.8,16.1,23.1,4.7,360.0,86.9,983.0,1.0,2.3,50.0,50.0
