,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB
mean,205.71607686453575,116.67112461948251,118.8267836757991,203.42127844368335,194.75042656012172,26.319394216133944,79.44885730593609,1.1461130136986302,1.6916059741248095,0.36382286910197875,133.0446683789954,7.1722197488584465,999.8764687975647,0.0009665144596651446,0.00480593607305936,31.597935121765598,31.84592370624049
std,291.7344814833104,218.49550443853332,155.1657258305992,292.51576500971765,280.03894804301154,4.398605011595131,20.520774562690175,1.2392483687506368,1.617053354438623,0.29500006363719533,114.28479181237655,7.5350931592808434,2.104419226069219,0.031073817701868293,0.047555992534041275,10.662408876236471,10.58340552190289
min,0.0,0.0,0.0,0.0,0.0,12.3,9.9,0.0,0.0,0.0,0.0,0.0,993.0,0.0,0.0,10.7,11.1
25%,2.4,0.2,3.4,0.0,0.0,23.1,68.7,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,23.5,23.8
50%,11.9,0.4,11.9,3.6,3.4,25.3,85.4,0.8,1.6,0.4,161.5,6.2,1000.0,0.0,0.0,26.6,26.9
75%,362.4,107.0,224.7,359.5,345.4,29.4,96.7,2.0,2.6,0.6,234.1,12.0,1001.0,0.0,0.0,40.9,41.3
max,1000.0,946.0,892.0,898.75,863.4999999999999,39.9,100.0,19.2,23.9,4.1,360.0,98.4,1006.0,1.0,2.4,50.0,50.0
