,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB
mean,243.34347070015224,166.2216063546424,117.717372716895,236.58051503044135,228.86293930745813,28.17986910197869,54.4879691780822,2.1061395547945203,2.7920165525114156,0.4730580289193303,153.43517199391172,8.485324200913244,994.197199391172,0.0009227549467275495,0.001904870624048706,35.24602558980212,32.471168664383555
std,329.03482879504014,257.66275359968694,153.5669512730524,326.8682613461928,316.475487259022,5.923779754629318,28.073068781205844,1.549332686970492,1.9628907058539187,0.21829019616701198,102.33284204706163,5.993658282985102,2.474993197988568,0.030362892221282408,0.03711520540633969,14.807257234846594,12.347051625621422
min,0.0,0.0,0.0,0.0,0.0,12.050000000000002,2.1,0.0,0.0,0.10000000000000009,0.0,0.0,985.0,0.0,0.0,9.0,8.1
25%,2.0,0.4,2.1,0.0,0.0,24.2,28.8,1.0,1.3,0.4,59.0,3.7,993.0,0.0,0.0,24.2,23.6
50%,7.1,0.8,8.6,4.5,4.3,28.0,55.1,1.9,2.6,0.5,181.0,8.6,994.0,0.0,0.0,30.0,28.9
75%,483.4,314.2,216.3,463.7,447.9,32.3,80.1,3.1,4.1,0.6,235.1,12.3,996.0,0.0,0.0,46.9,41.5
max,1205.5,784.9000000000001,537.6,1159.25,1119.75,43.8,100.0,6.25,8.299999999999999,0.8999999999999999,360.0,25.200000000000003,1003.0,1.0,2.5,80.94999999999999,68.35
